BlockNum,graph,group,graph+group,prefetch,execute,merge,total
14399446,16452,36,16489,2755,10417,1750,31415
14399447,15798,44,15843,2662,13359,2139,34006
14399448,19538,66,19605,3056,7489,1721,31874
14399449,16447,42,16490,2753,6700,1446,27392
14399450,15715,43,15758,2673,6932,1418,26784
14399451,16109,41,16152,2748,6791,1349,27042
14399452,16075,39,16115,2719,7413,1296,27546
14399453,16020,36,16063,2810,6611,1203,26689
14399454,15869,38,15909,2681,7396,1216,27204
14399455,16016,38,16055,2697,7014,1185,26953
14399456,16082,39,16123,2681,6662,1202,26671
14399457,15970,39,16010,2738,6918,1239,26907
14399458,16052,39,16092,2714,7344,5663,31816
14399459,16320,71,16393,2773,6888,1242,27298
14399460,20426,40,20467,2798,8854,1352,33474
14399461,18070,39,18110,2790,7058,1178,29138
14399462,15754,44,15799,2676,7436,1213,27126
14399463,15940,43,15984,2653,7101,1206,26945
14399464,16241,47,16289,2799,6553,1073,26717
14399465,15787,46,15835,2658,7046,1091,26632
14399466,16319,46,16366,2895,6602,1035,26901
14399467,15792,36,15829,2683,9472,1723,29710
14399468,25168,66,25236,4078,7964,1219,38501
14399469,16602,54,16658,2790,7804,1098,28352
14399470,15810,35,15846,2753,7223,1091,26916
14399471,22234,55,22290,2990,6813,1107,33203
14399472,15966,38,16005,2808,6900,1051,26767
14399473,16042,35,16079,2659,8527,1356,28624
14399474,19823,41,19865,2990,6529,1028,30415
14399475,15839,38,15878,2595,6614,1033,26123
14399476,15665,35,15701,2650,7251,1028,26632
14399477,15770,40,15811,2669,6798,1011,26291
14399478,16285,41,16327,2803,6945,1008,27086
14399479,16131,41,16173,3110,6527,1034,26846
14399480,16209,38,16248,2755,8296,1260,28561
14399481,19751,45,19797,2925,7230,1064,31019
14399482,16062,39,16102,2733,6912,999,26749
14399483,16041,40,16082,2704,7158,1020,26966
14399484,16170,45,16216,2691,8520,1135,28565
14399485,19363,51,19415,3040,6775,969,30201
14399486,16116,40,16157,2661,7077,940,26838
14399487,15857,38,15897,2875,6847,953,26575
14399488,16023,37,16062,2750,7064,883,26761
14399489,16256,43,16301,2904,7934,979,28121
14399490,16541,42,16584,2691,7399,891,27568
14399491,15794,41,15836,2686,6488,882,25895
14399492,15871,49,15921,2663,7248,898,26732
14399493,15857,38,15896,2728,7977,951,27555
14399494,16981,43,17024,2797,7771,1000,28595
14399495,17744,54,17799,2835,7721,1018,29376
14399496,18427,52,18481,2847,6893,930,29154
14399497,15733,48,15783,2703,7706,979,27173
14399498,16820,40,16861,2727,6554,877,27022
14399499,15786,43,15830,2698,7116,895,26541
14399500,16192,44,16237,2764,6731,909,26645
14399501,16024,38,16063,2887,6899,911,26764
14399502,15784,42,15828,2672,6929,863,26295
14399503,15727,38,15766,2573,6548,893,25782
14399504,15753,44,15798,2653,6948,870,26272
14399505,15713,37,15751,2676,6995,906,26331
14399506,15774,38,15814,2652,6852,873,26193
14399507,15776,38,15814,2610,8052,1007,27486
14399508,18669,42,18712,2820,6964,1037,29536
14399509,17966,61,18029,2863,7214,903,29012
14399510,16893,70,16964,2902,7114,930,27912
14399511,16568,42,16611,2750,6893,921,27178
14399512,15846,39,15887,2665,8821,1085,28460
14399513,19949,45,19996,2937,6967,892,30795
14399514,16551,43,16595,2810,6813,908,27129
14399515,16350,43,16394,2783,6586,868,26634
14399516,15823,39,15863,2687,8544,868,27965
14399517,15719,33,15754,2646,7034,866,26301
14399518,15798,41,15839,2707,7360,895,26803
14399519,19258,35,19294,2727,6589,881,29493
14399520,15726,41,15768,2660,7163,854,26447
14399521,16085,36,16122,2703,6719,861,26407
14399522,15744,43,15788,2596,7175,898,26458
14399523,16851,34,16887,2699,7185,905,27679
14399524,16009,32,16042,2791,6786,876,26497
14399525,15764,33,15797,2677,8560,1060,28096
14399526,19632,39,19672,3058,7817,1050,31601
14399527,18097,47,18145,2789,7322,950,29210
14399528,16055,35,16091,2628,7233,859,26813
14399529,15969,39,16010,2606,6809,928,26356
14399530,16721,46,16769,2721,6802,869,27165
14399531,17266,54,17321,2667,6663,868,27521
14399532,15766,47,15815,2657,7192,883,26549
14399533,16384,37,16422,2732,6932,843,26932
14399534,16137,34,16172,2709,6601,822,26307
14399535,15796,43,15840,2689,7553,848,26933
14399536,16611,37,16649,3002,7854,1405,28913
14399537,18332,65,18398,3023,9424,886,31733
14399538,17171,37,17210,2805,8738,1047,29802
14399539,19437,59,19498,2961,7216,871,30549
14399540,16021,38,16060,2688,7561,855,27166
14399541,16499,59,16559,2900,7082,871,27415
14399542,15812,34,15848,2656,6971,840,26317
14399543,15871,37,15908,2675,7384,1050,27021
14399544,17046,46,17094,3168,7172,865,28302
14399545,15837,36,15874,2634,7018,856,26384
