BlockNum,TxNum,graph,group,graph+group,prefetch,execute,merge,total
14399446,288,109492,282,109776,5727,71752,16372,314323
14399447,318,113819,253,114074,4975,34492,9953,305015
14399448,294,64364,189,64554,5037,38339,10665,232785
14399449,98,7744,52,7797,1713,14201,5439,54844
14399450,190,43245,185,43431,3773,23240,10179,157320
14399451,85,7254,138,7393,1153,6721,2188,44846
14399452,138,14374,58,14433,1789,14942,4996,83544
14399453,341,78918,165,79084,4603,38657,14128,227570
14399454,202,32692,79,32771,3113,23296,9480,132226
14399455,128,9788,35,9824,1484,14345,3731,67525
14399456,356,149820,228,150049,6382,51589,22378,364562
14399457,362,94321,222,94544,5668,56027,17081,284905
14399458,470,119918,514,120434,6974,53269,14714,305377
14399459,126,12447,47,12494,2397,32000,6978,103372
14399460,189,25175,91,25268,2460,25284,6206,121179
14399461,53,3854,37,3892,1499,17521,4618,56532
14399462,50,2558,13,2572,619,4384,1233,30451
14399463,408,97197,223,97422,5025,46582,13469,276612
14399464,321,123559,332,123893,5219,57900,17725,362096
14399465,154,15631,74,15707,1768,14507,3135,80268
14399466,239,38792,99,38892,5749,48450,13651,192386
14399467,156,26696,143,26841,2425,20959,7457,132789
14399468,87,11797,69,11867,2107,22129,6407,106894
14399469,178,30606,181,30789,4920,40018,11671,152183
14399470,18,448,4,452,425,1812,798,12936
14399471,35,1572,12,1585,594,5915,921,24918
14399472,255,61782,213,61995,3762,37895,7464,230997
14399473,249,46169,166,46336,4914,35002,11625,181002
14399474,174,23738,77,23816,3651,32093,8682,152925
14399475,228,59845,192,60039,4568,38981,9494,249255
14399476,220,37881,165,38047,3780,34799,9067,173343
14399477,170,20717,196,20914,3126,23352,7789,115463
14399478,144,18424,69,18494,2938,29008,5988,121828
14399479,97,12071,43,12115,1720,11237,4053,73178
14399480,225,34944,128,35073,4314,40940,12333,175820
14399481,76,5427,26,5454,1820,17214,4280,71087
14399482,179,27705,101,27807,3630,40456,11048,163386
14399483,230,65795,266,66063,4246,31051,11003,235024
14399484,106,7556,48,7606,1866,11981,5152,64012
14399485,29,1072,7,1079,715,5907,1762,32061
14399486,330,70376,165,70543,4818,43899,11011,255503
14399487,21,1001,9,1011,574,5166,1371,34329
14399488,257,78449,231,78682,4840,46343,13193,315160
14399489,108,14443,84,14528,1686,15363,5443,111001
14399490,8,135,2,137,189,1477,407,7422
14399491,561,118274,1195,119470,9202,17967,15295,294582
14399492,157,19510,79,19590,3744,41421,12624,139216
14399493,242,41088,206,41296,2069,10509,3367,150596
14399494,352,88932,187,89120,4909,38975,11725,314393
14399495,291,64893,147,65041,4766,37570,11703,274943
14399496,114,7045,112,7158,2191,12928,9829,103917
14399497,136,12295,68,12364,1563,10171,4496,85742
14399498,18,289,4,294,227,831,276,7781
14399499,212,36295,146,36442,3385,24386,7503,172012
14399500,310,60331,194,60526,4193,39012,11038,236165
14399501,57,2464,20,2485,1041,14733,1935,61007
14399502,109,8789,44,8834,2207,10035,3200,90203
14399503,32,838,9,848,530,6105,1191,24810
14399504,328,69834,264,70100,3912,26264,8299,246915
14399505,125,12970,49,13020,2084,19491,6394,112845
14399506,388,109194,242,109437,4883,36419,10236,337505
14399507,221,35505,128,35635,2338,18806,6023,167550
14399508,100,6424,34,6459,1169,8433,3115,66001
14399509,170,19867,60,19928,1837,13812,4510,118342
14399510,78,6055,27,6083,1430,14289,4407,77599
14399511,32,739,14,753,602,2928,1065,21795
14399512,434,125327,296,125625,4882,44223,10149,359553
14399513,261,52788,113,52902,3708,32246,9249,241043
14399514,17,279,3,283,270,907,319,10496
14399515,267,49617,124,49743,2976,20126,6421,199464
14399516,69,3746,18,3765,760,5752,1602,45121
14399517,16,259,5,265,368,14256,639,28749
14399518,277,54802,184,54987,4494,61628,7708,291226
14399519,219,41542,160,41703,3541,33122,7366,239533
14399520,406,108251,305,108558,5459,40337,14447,334179
14399521,305,64942,150,65094,3673,37661,8535,282561
14399522,216,27052,395,27449,2777,12874,4685,117902
14399523,37,1122,12,1135,704,5902,1960,32537
14399524,256,47069,126,47196,3112,29859,7871,234324
14399525,33,1379,8,1388,495,2984,1623,36890
14399526,209,32272,113,32386,2862,21875,6882,176588
14399527,253,52147,127,52276,3321,25578,8674,243065
14399528,139,11627,42,11670,1298,11694,2555,101317
14399529,137,16391,48,16440,2410,18513,5600,130872
14399530,86,4873,46,4921,935,7354,2254,63925
14399531,21,523,4,529,280,3287,347,16709
14399532,116,7716,28,7746,1025,7788,3182,76625
14399533,13,265,3,269,243,1243,339,12142
14399534,49,2153,10,2164,554,4056,1515,43437
14399535,285,63438,114,63553,3483,100703,7210,347753
14399536,171,27037,68,27107,2451,18859,7307,192164
14399537,28,591,11,602,397,1646,579,17945
14399538,331,79059,214,79274,5045,34213,12516,331716
14399539,0,0,0,1,0,0,0,2
14399540,90,6866,31,6899,1679,12100,4276,88310
14399541,108,14603,55,14658,2935,34593,6921,168388
14399542,124,13941,59,14000,2909,34102,5996,157644
14399543,117,11485,41,11527,1459,17583,3609,114935
14399544,395,100915,276,101192,5077,47305,12454,363155
14399545,293,75784,247,76032,5729,48563,14576,338951
