BlockNum,TxNum,graph,group,graph+group,prefetch,execute,merge,total
14399446,288,66878,11484,78397,4888,53046,9861,224438
14399447,318,78299,9297,87623,4028,32683,9514,224099
14399448,294,65153,9261,74441,3417,29829,8488,188544
14399449,98,7602,1909,9536,1330,12309,3439,48724
14399450,190,26458,5214,31698,2210,17666,6735,102858
14399451,85,4790,2128,6941,980,6012,1829,33433
14399452,138,17752,1151,18931,1714,13657,3611,85146
14399453,341,84219,8658,92903,3746,39406,11635,230055
14399454,202,40139,3455,43627,2334,17732,6162,131536
14399455,128,9774,564,10361,1352,12782,3881,63618
14399456,356,95456,17918,113406,5837,47813,21377,270230
14399457,362,104546,15564,120140,4310,41767,13753,271035
14399458,470,128726,97694,226451,4945,40539,12443,374932
14399459,126,13675,1228,14928,1823,25027,4212,91242
14399460,189,30594,3080,33700,2107,26374,5118,125838
14399461,53,2887,449,3360,967,14251,3152,42284
14399462,50,1960,66,2052,488,3805,908,23121
14399463,408,96711,15518,112262,3695,36111,9247,260662
14399464,321,75994,14915,90938,4029,40755,11525,241702
14399465,154,17486,1300,18811,1376,12217,1915,75276
14399466,239,40663,2426,43121,2390,20234,5806,147323
14399467,156,16369,4564,20961,2499,20480,6656,97462
14399468,87,9286,1348,10659,2079,23660,5353,88091
14399469,178,33778,14609,48412,3291,25097,5936,138371
14399470,18,409,25,460,284,1481,630,11011
14399471,35,1172,59,1256,338,4310,668,18032
14399472,255,43051,3330,46410,2604,28147,5566,151091
14399473,249,55995,7136,63159,2936,24256,6826,168437
14399474,174,23252,2372,25651,2550,21859,6341,127482
14399475,228,50217,6290,56537,3388,31844,8137,186875
14399476,220,44275,9592,53902,3407,28160,8053,170198
14399477,170,21040,25001,46069,2857,20472,4946,130227
14399478,144,18610,2575,21209,2835,26466,6807,122136
14399479,97,10326,602,10951,1627,10022,3363,66441
14399480,225,33569,3207,36804,2670,26931,6770,144260
14399481,76,7227,808,8062,1406,13794,3532,65181
14399482,179,32734,6210,38968,2844,32232,7323,151033
14399483,230,45346,10960,56334,3034,23463,8342,159564
14399484,106,9310,1316,10654,1342,8993,3695,59802
14399485,29,1059,78,1160,747,5611,2256,30435
14399486,330,79516,9480,89026,3652,43138,8711,250355
14399487,21,656,40,720,610,7156,2152,26846
14399488,257,53900,8548,62479,3893,41888,11718,225186
14399489,108,9212,853,10105,1635,14888,4791,79262
14399490,8,155,13,190,300,2040,542,8843
14399491,561,128502,416280,544811,4475,11956,4856,662766
14399492,157,15982,1792,17798,1697,24495,4772,98873
14399493,242,24880,5235,30144,1607,10076,3396,100893
14399494,352,87043,11429,98505,4067,37089,11978,291104
14399495,291,63172,7135,70345,4329,36684,14549,264833
14399496,114,7091,10217,17336,2493,12589,4412,92098
14399497,136,13768,3142,16936,1709,9851,3806,85978
14399498,18,387,27,441,265,999,281,9832
14399499,212,39262,5105,44396,2690,19729,6394,165321
14399500,310,63021,12348,75400,3366,27626,8546,216646
14399501,57,2823,209,3058,896,14113,1500,59120
14399502,109,9029,542,9598,1560,9362,3089,79579
14399503,32,923,87,1038,504,5909,882,23534
14399504,328,73925,25368,99323,3244,22336,7012,248375
14399505,125,14956,1135,16116,1944,18799,6085,107840
14399506,388,115681,15738,131450,3849,30052,8446,324210
14399507,221,35681,4522,40232,2350,19704,6292,163751
14399508,100,6871,695,7591,1121,9405,2241,62535
14399509,170,24115,1161,25305,1673,13184,4324,112308
14399510,78,5792,296,6113,1478,13777,5820,72490
14399511,32,781,111,918,555,3052,1401,20739
14399512,434,131378,20689,152099,3733,39809,8179,338616
14399513,261,50975,5134,56139,3158,27920,8299,218692
14399514,17,295,17,336,219,986,265,10137
14399515,267,44472,2630,47132,2231,16458,5593,174698
14399516,69,3665,100,3792,553,4171,1242,37955
14399517,16,263,20,316,293,13329,699,26326
14399518,277,47048,12029,59109,3998,60433,8455,270576
14399519,219,35591,2804,38424,2777,31751,8559,234949
14399520,406,113306,27347,140687,5887,40545,16267,341514
14399521,305,75248,8274,83553,3443,36250,8011,277492
14399522,216,25003,77222,102254,2449,10180,4162,180580
14399523,37,1285,223,1536,763,6260,2496,34362
14399524,256,66925,4436,71404,3163,30669,7378,249031
14399525,33,1106,38,1168,379,2344,934,28460
14399526,209,31059,4523,35613,2595,19805,5661,156517
14399527,253,54761,5598,60387,2919,22742,8136,222039
14399528,139,13411,631,14068,1426,13350,3470,98052
14399529,137,15192,804,16035,1807,14693,4427,115977
14399530,86,4845,253,5123,885,7989,1726,55888
14399531,21,456,19,497,261,2987,291,14494
14399532,116,7906,286,8214,982,6534,2187,69685
14399533,13,256,16,295,221,1175,354,11056
14399534,49,2209,62,2292,419,3916,1152,38012
14399535,285,60072,4099,64206,3563,109769,7788,328923
14399536,171,23257,1815,25097,2285,20130,7299,157347
14399537,28,693,85,802,446,3156,947,19602
14399538,331,80719,14996,95746,4283,34347,12023,312348
14399539,0,0,3,17,0,0,0,21
14399540,90,8697,566,9289,1190,11423,3857,84885
14399541,108,14491,1038,15559,2446,31598,5613,153112
14399542,124,22642,1812,24488,2277,36151,6442,191877
14399543,117,13267,577,13871,1210,16775,2899,108107
14399544,395,104986,22472,127488,4465,39293,11121,361644
14399545,293,66214,18312,84553,4885,38616,11917,295463
