BlockNum,prefetch,merge
14399446,4622,14283
14399447,5814,14738
14399448,5243,13624
14399449,1327,4278
14399450,2646,9411
14399451,952,2802
14399452,2298,7044
14399453,4655,28456
14399454,3252,9867
14399455,1769,8036
14399456,7444,15669
14399457,6188,18128
14399458,6203,16827
14399459,2369,7768
14399460,2977,9796
14399461,993,3743
14399462,668,2154
14399463,5523,15006
14399464,5236,14316
14399465,2105,9430
14399466,4010,13333
14399467,2362,7889
14399468,1778,5518
14399469,2934,14065
14399470,330,1642
14399471,695,1629
14399472,4024,10261
14399473,4067,20342
14399474,3630,11925
14399475,4123,24907
14399476,3624,21842
14399477,2415,8119
14399478,3888,8250
14399479,1516,6097
14399480,3211,9533
14399481,1365,4805
14399482,3167,11040
14399483,3513,9543
14399484,1518,5288
14399485,751,3128
14399486,4610,12504
14399487,495,2193
14399488,4535,14012
14399489,1941,11051
14399490,265,1161
14399491,4548,9352
14399492,2267,7068
14399493,2596,6472
14399494,6194,16815
14399495,5526,15748
14399496,2046,4767
14399497,1787,7748
14399498,189,744
14399499,4879,10234
14399500,5977,10646
14399501,1143,3565
14399502,3211,6509
14399503,436,2009
14399504,4446,11198
14399505,2207,6854
14399506,6000,15966
14399507,3317,8441
14399508,1495,4372
14399509,2491,8022
14399510,1523,6399
14399511,473,1488
14399512,5755,18204
14399513,4719,14077
14399514,216,620
14399515,4048,12586
14399516,1017,3064
14399517,376,1189
14399518,4908,11843
14399519,3958,10219
14399520,5125,15016
14399521,4739,13557
14399522,2173,8066
14399523,536,2121
14399524,4277,12468
14399525,977,2567
14399526,3500,8956
14399527,4892,12924
14399528,2023,6907
14399529,2426,13142
14399530,1228,4786
14399531,321,939
14399532,1527,5990
14399533,211,1220
14399534,1190,3602
14399535,4819,12817
14399536,3151,10247
14399537,410,2069
14399538,5470,16270
14399539,0,0
14399540,1646,7455
14399541,2846,8154
14399542,2481,7579
14399543,1971,7439
14399544,5513,28972
14399545,4888,12571
